"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","12600","Run-time exception validation test","","Wed Apr 16 11:21:21 GMT 2025","passed","Wed Apr 16 11:21:33 GMT 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","runtimeException"
"Filtering is not available for the Form widget","6615","Filtering test","","Wed Apr 16 11:24:23 GMT 2025","passed","Wed Apr 16 11:24:29 GMT 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","filtration"
"Filtering is not available for InfoWidget.","8481","Filtering test","","Wed Apr 16 11:25:27 GMT 2025","passed","Wed Apr 16 11:25:35 GMT 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","filtration"
"Filtering is not available for the Form widget","7417","Filtering test","","Wed Apr 16 11:20:55 GMT 2025","passed","Wed Apr 16 11:21:02 GMT 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","filtration"
"The method returns Option-Status pairs, for all. The test checks each pair.","9136","Test to check the status of all options","","Wed Apr 16 11:23:22 GMT 2025","passed","Wed Apr 16 11:23:31 GMT 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","statusOptions"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","5746","A test to get the field color value in Hex format","","Wed Apr 16 11:26:55 GMT 2025","passed","Wed Apr 16 11:27:01 GMT 2025","","Info. Checking the basic functions for the DateTime","application.Samples.Info.DateTimeOnInfoTest","color"
"Sorting is not available for InfoWidget.","9462","Sorting test","","Wed Apr 16 11:29:00 GMT 2025","passed","Wed Apr 16 11:29:10 GMT 2025","","Info. Checking the basic functions for the MultiField","application.Samples.Info.MultiFieldOnInfoTest","sorting"
"The InfoWidget doesn't have a Placeholder.","7055","Test for getting the Placeholder value","","Wed Apr 16 11:26:14 GMT 2025","passed","Wed Apr 16 11:26:21 GMT 2025","","Info. Checking the basic functions for the PickList","application.Samples.Info.PickListOnInfoTest","placeholder"
"Info Widget is always read-only","5320","A test to check the field for ""Read-only""","","Wed Apr 16 11:26:44 GMT 2025","passed","Wed Apr 16 11:26:50 GMT 2025","","Info. Checking the basic functions for the DateTime","application.Samples.Info.DateTimeOnInfoTest","readonly"
"Info Widget is always read-only","5117","A test to check the field for ""Read-only""","","Wed Apr 16 11:25:15 GMT 2025","passed","Wed Apr 16 11:25:20 GMT 2025","","Info. Checking the basic functions for the Hint","application.Samples.Info.HintOnInfoTest","readonly"
